vehicle_id,trip_start_date,date_updated,position_longitude,trip_schedule_relationship,position_speed,vehicle_current_status,trip_route_id,position_odometer,vehicle_label,trip_id,position_latitude,geographic_point
366,20200428,2020-05-19 18:00:04,-99.05619812011719,0,9,2,301,0,308,9737997,19.396499633789062,"19.3964996338,-99.0561981201"
398,20200428,2020-05-19 18:00:04,-99.18679809570312,0,0,2,301,735,340,9736450,19.40220069885254,"19.4022006989,-99.1867980957"
416,20200428,2020-05-19 18:00:04,-99.18920135498047,0,4,1,301,0,358,9736539,19.407800674438477,"19.4078006744,-99.189201355"
432,20200428,2020-05-19 18:00:04,-99.18710327148438,0,0,1,301,0,374,9736405,19.402000427246094,"19.4020004272,-99.1871032715"
1021,20200428,2020-05-19 18:00:04,-99.10289764404297,0,9,2,301,648,398,9738355,19.3971004486084,"19.3971004486,-99.102897644"
1,20200428,2020-05-19 18:00:04,-99.14900207519531,0,3,2,1,668,401,9685594,19.427000045776367,"19.4270000458,-99.1490020752"
23,20200428,2020-05-19 18:00:04,-99.14800262451172,0,5,2,1,561,423,9685204,19.47920036315918,"19.4792003632,-99.1480026245"
26,20200428,2020-05-19 18:00:04,-99.1438980102539,0,8,2,1,332,426,9684193,19.4606990814209,"19.4606990814,-99.1438980103"
33,20200428,2020-05-19 18:00:04,-99.15270233154297,0,0,2,1,213,433,9685029,19.491600036621094,"19.4916000366,-99.1527023315"
37,20200428,2020-05-19 18:00:04,-99.16909790039062,0,3,2,1,166,437,9684697,19.527099609375,"19.5270996094,-99.1690979004"
38,20200428,2020-05-19 18:00:04,-99.1541976928711,0,2,2,1,0,438,9683873,19.420000076293945,"19.4200000763,-99.1541976929"
56,20200428,2020-05-19 18:00:04,-99.14600372314453,0,0,2,1,710,456,9684297,19.473600387573242,"19.4736003876,-99.1460037231"
1149,20200428,2020-05-19 18:00:04,-99.15840148925781,0,13,2,1,253,463,9684521,19.50629997253418,"19.5062999725,-99.1584014893"
1152,20200428,2020-05-19 18:00:04,-99.14810180664062,0,6,2,1,0,466,9683969,19.431100845336914,"19.4311008453,-99.1481018066"
981,20200428,2020-05-19 18:00:04,-99.14790344238281,0,5,2,1,244,467,9685475,19.437700271606445,"19.4377002716,-99.1479034424"
984,20200428,2020-05-19 18:00:04,-99.14800262451172,0,11,2,1,350,470,9684033,19.442800521850586,"19.4428005219,-99.1480026245"
986,20200428,2020-05-19 18:00:04,-99.14710235595703,0,1,1,1,0,472,9685379,19.446199417114258,"19.4461994171,-99.147102356"
476,20200428,2020-05-19 18:00:04,-99.14869689941406,0,2,2,241,285,518,9755287,19.43790054321289,"19.4379005432,-99.1486968994"
482,20200428,2020-05-19 18:00:04,-99.14179992675781,0,5,1,241,0,524,9755678,19.430400848388672,"19.4304008484,-99.1417999268"
490,20200428,2020-05-19 18:00:04,-99.11640167236328,0,3,2,241,214,532,9755357,19.43560028076172,"19.4356002808,-99.1164016724"
491,20200428,2020-05-19 18:00:04,-99.15229797363281,0,0,1,241,0,533,9755605,19.44499969482422,"19.4449996948,-99.1522979736"
492,20200428,2020-05-19 18:00:04,-99.15460205078125,0,0,2,241,385,534,9755186,19.43560028076172,"19.4356002808,-99.1546020508"
494,20200428,2020-05-19 18:00:04,-99.14530181884766,0,0,2,241,182,536,9755658,19.43090057373047,"19.4309005737,-99.1453018188"
497,20200428,2020-05-19 18:00:04,-99.12429809570312,0,6,1,241,0,539,9755095,19.42329978942871,"19.4232997894,-99.1242980957"
499,20200428,2020-05-19 18:00:04,-99.11509704589844,0,0,1,241,0,541,9755379,19.430500030517578,"19.4305000305,-99.1150970459"
508,20200428,2020-05-19 18:00:04,-99.12010192871094,0,1,2,241,59,550,9755750,19.42530059814453,"19.4253005981,-99.1201019287"
